Data,SKU,Produto,Canal,NF,UF_destino,Valor_venda,ICMS_reais,ICMS_pct,DIFAL_reais,DIFAL_pct,ICMS_esperado_importado_pct
2026-08-11,26645-0001,KIT PRATO E TALHER DE SILICONE - 22BW010 AZUL,shopee,27892/2,RS,29.9,3.59,12.0,3.89,13.0,4
2026-07-20,CAX00859,TS PRESTIGE DUO VOYAGE PRETO,amazon,1676/420,SP,1549.0,185.88,12.0,92.94,6.0,4
2026-07-20,CAX00860,TS PRESTIGE DUO VOYAGE PRETO TERRACOTA,mercado_livre,30489/4,SP,1392.0,167.04,12.0,83.52,6.0,4
2026-07-28,CAX00861,TS PRESTIGE DUO VOYAGE CINZA MELANGE,mercado_livre,30682/4,SP,1392.0,167.04,12.0,83.52,6.0,4
2026-08-09,CAX00916,BASE BETA VOYAGE PRETO,mercado_livre,27883/2,SP,265.0,31.8,12.0,15.9,6.0,4
2026-07-22,KIT-PP03,,shopee,27759/2,SP,1809.0,191.34,10.6,95.67,5.3,4
2026-08-25,MA01511,MAMADEIRA MAM EASY START 260ML - EMBALAGEM UN,shopee,28040/2,SP,99.9,11.99,12.0,13.99,14.0,4
2026-07-19,MA20042,MAMADEIRA MAM EASY START - GIFT SET ROSA,shopee,27748/2,RS,249.0,29.88,12.0,32.37,13.0,4
2026-07-20,MA20042,MAMADEIRA MAM EASY START - GIFT SET ROSA,shopee,27751/2,SP,249.0,29.88,12.0,34.86,14.0,4
2026-07-25,MA20042,MAMADEIRA MAM EASY START - GIFT SET ROSA,shopee,27774/2,PR,249.0,29.88,12.0,38.6,15.5,4
2026-07-19,MA20043,MAMADEIRA MAM EASY START - GIFT SET NEUTRO,shopee,27747/2,SP,249.0,29.88,12.0,34.86,14.0,4
2026-07-21,MOVEDUO,CARRINHO MOVE - PRETO GOLDEN,mercado_livre,27756/2,RS,1499.0,179.88,12.0,194.87,13.0,4
2026-07-19,PPADCBE031,SCD-AVANTI CARRINHO + BEBE CONF. DIN BLACK/GR,shopee,27749/2,RJ,899.0,109.14,12.1,72.76,8.1,4
2026-07-20,PPADCBE031,SCD-AVANTI CARRINHO + BEBE CONF. DIN BLACK/GR,mercado_livre,27755/2,RJ,999.0,119.88,12.0,79.92,8.0,4
2026-07-22,PPB9CBE072,SCD-PB CARRINHO+BB CONF FLORENCE BLACK/BEGE,shopee,27760/2,RJ,1999.0,220.69,11.0,294.25,14.7,4
2026-07-21,PPJDCBE158,SCD-JOIE CARRINHO GEMEOS ESTRELLA CINZA MAPLE,shopee,27754/2,PR,2776.26,336.16,12.1,434.2,15.6,4
